 ,Area,Mean,X,Y
729,42,2.3,415.0,592.8
730,70,147.8,595.9,595.3
731,205,3.8,221.6,599.7
732,129,2.2,291.5,598.2
733,9,2.7,366.9,593.4
734,387,2.3,989.8,603.0
735,100,2.1,554.5,600.2
736,33,3.4,1161.1,598.3
737,155,2.5,273.6,603.4
738,61,2.4,1119.5,600.2
739,33,2.2,387.9,599.4
740,125,2.3,526.3,605.4
741,45,3.3,1214.0,604.3
742,23,2.3,347.3,602.1
743,78,2.1,472.9,606.4
744,136,2.5,326.8,607.5
745,153,3.0,497.6,608.5
746,144,2.3,837.0,610.6
747,36,2.9,928.9,606.1
748,27,2.0,1314.0,605.2
749,233,3.3,186.4,611.7
750,199,2.3,868.3,611.9
751,31,3.4,1191.8,605.9
752,232,2.6,148.9,613.4
753,22,2.4,619.1,607.0
754,58,2.1,1097.2,608.5
755,62,2.3,1137.4,609.7
756,165,2.6,581.1,614.1
757,175,6.5,109.4,616.4
758,16,2.9,373.8,609.4
759,50,2.2,1072.9,611.3
760,71,3.1,305.6,612.0
761,56,2.5,941.1,611.4
762,77,2.4,1111.8,613.7
763,120,2.2,57.1,619.5
764,23,2.3,394.9,616.0
765,40,84.7,244.9,617.0
766,84,3.0,314.4,618.3
767,121,2.2,516.8,620.9
768,107,2.3,35.7,622.0
769,118,2.2,80.8,622.3
770,33,2.1,437.0,618.6
771,17,2.2,1149.9,617.5
772,141,2.4,593.1,623.7
773,138,2.0,753.3,623.9
774,22,3.0,1276.3,619.1
775,62,2.2,198.6,622.2
776,93,4.6,225.8,623.7
777,17,3.1,1233.1,620.0
778,96,13.7,267.2,624.3
779,169,2.1,793.4,627.3
780,161,2.5,865.3,629.2
781,106,68.2,123.5,626.5
782,165,2.4,357.0,628.8
783,149,2.3,542.1,627.3
784,143,2.5,919.6,630.0
785,101,2.6,1159.6,628.2
786,158,2.7,342.6,630.7
787,40,3.2,1206.3,626.6
788,127,2.8,108.3,634.1
789,157,2.8,320.5,632.2
790,59,3.0,284.1,630.5
791,73,2.3,304.4,630.9
792,62,2.1,1084.6,632.4
793,8,2.0,1309.6,628.4
794,138,2.4,461.7,634.9
795,68,2.1,1060.3,633.0
796,140,2.4,72.3,635.8
797,212,2.4,170.0,636.9
798,173,68.3,251.0,638.1
799,60,5.5,1127.2,634.0
800,113,2.4,84.5,637.0
801,107,2.6,35.3,636.4
802,153,2.4,572.0,638.0
803,146,2.4,508.6,641.0
804,76,2.3,951.7,638.9
805,113,2.2,54.6,639.2
806,38,10.0,1105.3,637.0
807,149,2.5,354.9,641.3
808,139,2.4,536.4,641.7
809,107,36.7,625.2,640.6
